External_ID__c,Name,SBQQ__Category__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfiguredSKU__r.External_ID__c,SBQQ__DiscountSchedule__r.External_Id__c,SBQQ__DynamicProductFilterFieldSet__c,SBQQ__DynamicProductLookupFieldSet__c,SBQQ__MaxOptionCount__c,SBQQ__MinOptionCount__c,SBQQ__Number__c,SBQQ__OptionSelectionMethod__c
EX-0000001,Supply Track Options,,,EX-0012101,,,,,1,1,
EX-0000002,Manufacturer Listing,Software,,EX-0010207,,,,,0,10,Click
EX-0000003,junk,,,EX-0010780,,,,0,0,100,
EX-0000005,Blue Book Configuration Zone,,,EX-0010275,,,,3,0,10,
EX-0000006,Blue Book Configuration Items,,,EX-0010710,,,,3,0,10,
EX-0000007,Advertising Attributes,,,EX-0011005,,,,,0,10,
EX-0000008,Advertising Attributes,,,EX-0011084,,,,,0,10,
EX-0000009,Blue Book Configuration Zone,,,EX-0010628,,,,3,0,10,
EX-0000010,Blue Book Configuration Zone,,,EX-0010895,,,,3,0,10,
EX-0000011,Advertising Attributes,,,EX-0011130,,,,,0,10,
EX-0000012,Advertising Attributes,,,EX-0011107,,,,,0,10,
EX-0000013,Blue Book Alpha Listing,,,EX-0010714,,,,3,0,10,
EX-0000014,Blue Book Configuration Zone,,,EX-0010602,,,,3,0,10,
EX-0000015,Advertising Attributes,,,EX-0011167,,,,,0,10,
EX-0000016,Blue Book Configuration Zone,,,EX-0010345,,,,3,0,10,
EX-0000017,Blue Book Configuration Zone,,,EX-0010515,,,,0,0,10,
EX-0000018,Advertising Attributes,,,EX-0011053,,,,,0,10,
EX-0000019,Advertising Attributes,,,EX-0011014,,,,,0,10,
EX-0000020,Blue Book Configuration Zone,,,EX-0010443,,,,3,0,10,
EX-0000021,Blue Book Configuration Items,,,EX-0010464,,,,3,0,10,
EX-0000022,Advertising Attributes,,,EX-0011149,,,,,0,10,
EX-0000023,IMS Projects,,,EX-0010907,,,,,1,10,
EX-0000025,Blue Book Configuration Items,,,EX-0010563,,,,3,0,10,
EX-0000026,Advertising Attributes,,,EX-0010979,,,,,0,10,
EX-0000027,Blue Book Configuration Items,,,EX-0010516,,,,3,0,10,
EX-0000028,Blue Book Configuration Items,,,EX-0010194,,,,3,0,10,
EX-0000029,Blue Book Configuration Items,,,EX-0010886,,,,3,0,10,
EX-0000030,Blue Book Configuration Items,,,EX-0010444,,,,3,0,10,
EX-0000031,Advertising Attributes,,,EX-0011090,,,,,0,10,
EX-0000032,Advertising Attributes,,,EX-0010417,,,,,0,10,
EX-0000033,Blue Book Configuration Items,,,EX-0010883,,,,3,0,10,
EX-0000034,Advertising Attributes,,,EX-0011048,,,,,0,10,
EX-0000035,Advertising Attributes,,,EX-0011163,,,,,0,10,
EX-0000036,Advertising Attributes,,,EX-0011089,,,,,0,10,
EX-0000037,Blue Book Configuration Items,,,EX-0010961,,,,3,0,10,
EX-0000038,Blue Book Configuration Items,,,EX-0010624,,,,3,0,10,
EX-0000039,Advertising Attributes,,,EX-0011088,,,,,0,10,
EX-0000040,Blue Book Configuration Items,,,EX-0010195,,,,0,0,10,
