External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-000002,Invoice_Description__c,SBQQ__ProductName__c,,EX-000002,,,,Quote Line,,
EX-000006,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States_Account__c) & "";""",10,EX-000007,,,,Quote Line,,
EX-000014,DR_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
EX-000023,Latest_End_Date__c,,,EX-000005,,,EX-000010,Quote,,
EX-000026,Latest_Run_Date__c,,,EX-000005,,,EX-000006,Quote,,
EX-000032,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Invoice Descriptions""",30,EX-000007,,,,Quote Line,,
EX-000038,Print_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
EX-000056,Invoice_Description_Lines_Count__c,,,EX-000005,,,EX-000014,Quote,,
EX-000059,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-000007,,,,Quote Line,,
EX-000067,Count_of_Unsegmented_Lines__c,,10,EX-000067,,,EX-000013,Quote,,
EX-000072,Bluebook_Product_Count__c,,,EX-000005,,,EX-000005,Quote,,
EX-000073,Horizon_Product_Count__c,,,EX-000005,,,EX-000008,Quote,,
EX-0230607,Net_Amount_minus_DCC_Seats__c,,10,EX-000022,,,EX-000003,Quote,,
EX-0230608,SBQQ__EndDate__c,,,EX-000032,,,,Quote,,
EX-0230609,SBQQ__RegularPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__RegularPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",20,EX-000010,,,,Quote Line,,
EX-0230610,Initial_ARR__c,"IF(NOT(ISBLANK(SBQQ__RenewedSubscription__c)), 
IF(TEXT(SBQQ__SubscriptionPricing__c) = '', 0, 
(SBQQ__NetTotal__c / SBQQ__ProrateMultiplier__c) / (SBQQ__DefaultSubscriptionTerm__c / 12)), 
0)",50,EX-000019,,,,Quote Line,,
EX-0230611,Multiple_Ship_To_Addresses__c,,,EX-000024,,,,Quote,TRUE,
EX-0230612,SBQQ__DiscountSchedule__c,,,EX-000031,SBQQ__DiscountSchedule__c,Id,,Quote Line,,
EX-0230613,Geo_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Geo_Level_of_Detail__c), 1,

CASE(TEXT(Geo_Level_of_Detail__c), 
""National"", 0.2, 
""Divisions"", 0.45, 
""States"", 1, 
""Metro"", 1.20,
""Custom"", 1.40, 
1)

)",,EX-000013,,,,Quote Line,,
EX-0230614,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Non-Analytics Geo List Price"" &
text(SBQQ__ListPrice__c)",,EX-000021,,,,Quote Line,,
EX-0230615,SBQQ__ProrateMultiplier__c,,,EX-000020,,,,Quote Line,1,
EX-0230616,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Bundle Wrapper Package Code""",,EX-000004,,,,Quote Line,,
EX-0230617,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""DCC County List Prices""",,EX-000008,,,,Quote Line,,
EX-0230618,Bluebook_Product_On_Quote__c,"IF(Bluebook_Product_Count__c > 0, True, False)",20,EX-000017,,,,Quote,,
EX-0230619,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Analytics Geo List Price 1: list"" & text(SBQQ__ListPrice__c) & "" GEO: "" &  text(DCC_Geo_List_Price__c)",10,EX-000026,,,,Quote Line,,
