External_ID__c,SBQQ__ConfiguredSKU__r.External_ID__c,SBQQ__OptionalSKU__r.External_ID__c,SBQQ__Feature__r.External_ID__c,Ad_Caption__c,Ad_Inches__c,Ad_Size__c,Ad__c,Analytics_Geo__c,Analytics_Service_Type__c,CurrencyIsoCode,DCPB_Regions__c,Delivery_Frequency__c,Dodge_Reports_Categories__c,Geo_Level_of_Detail__c,Geo__c,Invalid_Option_Subscription__c,Invoice_Description__c,Is_Do_Not_Sync_NS__c,Is_Subscription_Configured__c,Is_Subscription__c,Issue_Date__c,Milestone_Amount__c,Milestone_Date_Complete__c,Milestone_Pct_Complete__c,Nationwide__c,News_Only_Platforms__c,Project_Category__c,Project_Level_of_Detail__c,Project_Type2__c,Project_Type4__c,Project_Type__c,Revenue_Type__c,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__DiscountSchedule__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__PriceEditable__c,SBQQ__ProductCode__c,SBQQ__ProductConfigurationType__c,SBQQ__ProductDescription__c,SBQQ__ProductFamily__c,SBQQ__ProductName__c,SBQQ__ProductQuantityScale__c,SBQQ__ProductSubscriptionPricing__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__RenewalProductOption__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c,Summary_Line__c,TBB_Class__c,TBB_Classes__c,TBB_Region__c,TBB_Regions__c,Zone_Type__c
,EX-0010288,EX-20240507-5,EX-0000075,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,,,,,Subscription,,false,false,,,,,,,,,false,,,,2745,No,DR-G154,,"RICHMOND, GA",Dodge Report,DR-G154-GHE,,Fixed Price,false,1,,,false,false,,false,Component,1057,false,false,,,,,
,EX-0010680,,EX-0000065,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,By Project Type,,,,Subscription,,false,false,,,,,,,,,false,,,,2,No,2,,Alaska AK,DCC Geo,Alaska AK,,Fixed Price,false,1,,,false,false,,false,Component,1200,false,false,,,,,
,EX-0011109,,EX-0000158,,,,,false,,USD,,,,,,false,,false,false,false,,,,,false,,,By Project Type,,,,1X,,false,false,,,,,,,,,false,,,,2,No,2,,Alaska AK  - 1X,DCC Geo,Alaska AK  - 1X,,,false,1,,,false,false,,false,Component,200,false,false,,,,,
,EX-0010680,,EX-0000065,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,By Project Type,,,,Subscription,,false,false,,,,,,,,,false,,,,3,No,1,,Alabama AL,DCC Geo,Alabama AL,,Fixed Price,false,1,,,false,false,,false,Component,1200,false,false,,,,,
,EX-0011109,,EX-0000158,,,,,false,,USD,,,,,,false,,false,false,false,,,,,false,,,By Project Type,,,,1X,,false,false,,,,,,,,,false,,,,3,No,1,,Alabama AL - 1X,DCC Geo,Alabama AL - 1X,,,false,1,,,false,false,,false,Component,200,false,false,,,,,
,EX-0010680,,EX-0000065,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,By Project Type,,,,Subscription,,false,false,,,,,,,,,false,,,,4,No,5,,Arkansas AR,DCC Geo,Arkansas AR,,Fixed Price,false,1,,,false,false,,false,Component,1200,false,false,,,,,
,EX-0011109,,EX-0000158,,,,,false,,USD,,,,,,false,,false,false,false,,,,,false,,,By Project Type,,,,1X,,false,false,,,,,,,,,false,,,,4,No,5,,Arkansas AR - 1X,DCC Geo,Arkansas AR - 1X,,,false,1,,,false,false,,false,Component,200,false,false,,,,,
,EX-0010680,,EX-0000065,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,By Project Type,,,,Subscription,,false,false,,,,,,,,,false,,,,5,No,4,,Arizona AZ,DCC Geo,Arizona AZ,,Fixed Price,false,1,,,false,false,,false,Component,1200,false,false,,,,,
,EX-0011109,,EX-0000158,,,,,false,,USD,,,,,,false,,false,false,false,,,,,false,,,By Project Type,,,,1X,,false,false,,,,,,,,,false,,,,5,No,4,,Arizona AZ - 1X,DCC Geo,Arizona AZ - 1X,,,false,1,,,false,false,,false,Component,200,false,false,,,,,
,EX-0010680,,EX-0000065,,,,,false,,USD,,,,,,false,,false,true,true,,,,,false,,,By Project Type,,,,Subscription,,false,false,,,,,,,,,false,,,,6,No,6,,California CA,DCC Geo,California CA,,Fixed Price,false,1,,,false,false,,false,Component,1200,false,false,,,,,
